"Count","DofW","Site","Intervention","ZeroCal","Sugary","Juice100","Ojuice","Sports","Total"
1,4,"chop","preint",734,556,176,112,67,5112
2,5,"chop","preint",651,601,165,121,64,5118
3,6,"chop","preint",194,217,64,47,24,1451
4,7,"chop","preint",178,193,53,52,19,1204
5,1,"chop","preint",652,563,147,100,64,4626
6,2,"chop","preint",789,496,165,87,53,5050
7,3,"chop","preint",776,549,180,91,71,4843
8,4,"chop","preint",748,558,177,104,68,5183
9,5,"chop","preint",758,571,178,98,52,4734
10,6,"chop","preint",214,195,72,39,26,1311
11,7,"chop","preint",170,161,64,42,24,1183
12,1,"chop","preint",664,515,169,82,69,4572
13,2,"chop","preint",698,558,152,100,42,5033
14,3,"chop","preint",740,593,185,109,60,5073
15,4,"chop","preint",738,520,191,114,59,4899
16,5,"chop","preint",620,506,156,111,51,4339
17,6,"chop","preint",189,195,63,33,16,1294
18,7,"chop","preint",208,194,60,37,19,1168
19,1,"chop","preint",650,504,149,107,76,4451
20,2,"chop","preint",721,509,186,105,58,4895
21,3,"chop","preint",657,556,169,104,69,4956
22,4,"chop","dismes",747,591,218,118,68,5261
23,5,"chop","dismes",711,582,215,116,70,4878
24,6,"chop","dismes",217,193,70,49,26,1309
25,7,"chop","dismes",190,169,62,40,15,1184
26,1,"chop","dismes",703,521,157,94,56,4577
27,2,"chop","dismes",799,588,156,95,58,4976
28,3,"chop","dismes",839,589,178,114,68,5210
29,4,"chop","dismes",743,603,173,89,57,5295
30,5,"chop","dismes",684,569,177,127,68,4917
31,6,"chop","dismes",188,169,65,41,25,1276
32,7,"chop","dismes",182,179,66,51,29,1266
33,1,"chop","dismes",704,534,151,103,59,4591
34,2,"chop","dismes",745,542,168,104,75,4882
35,3,"chop","dismes",744,574,154,115,62,5126
36,4,"chop","dismes",855,626,191,142,66,5338
37,5,"chop","dismes",717,605,171,120,37,4932
38,6,"chop","dismes",216,196,81,58,23,1329
39,7,"chop","dismes",237,176,70,40,17,1290
40,1,"chop","dismes",768,640,175,104,61,4983
41,2,"chop","dismes",787,636,148,102,71,5041
42,3,"chop","dismes",616,536,173,117,56,4643
43,4,"chop","wash",235,247,67,59,21,1201
44,5,"chop","wash",324,319,130,88,29,2330
45,6,"chop","wash",153,187,50,43,16,1134
46,7,"chop","wash",154,182,65,41,15,1120
47,1,"chop","wash",683,555,129,121,63,4620
48,2,"chop","wash",759,547,168,103,68,5163
49,3,"chop","wash",632,480,172,65,40,4287
50,4,"chop","dis ",999,734,237,140,71,6229
51,5,"chop","dis ",783,617,193,150,43,4955
52,6,"chop","dis ",216,216,58,29,16,1357
53,7,"chop","dis ",189,185,51,24,18,1249
54,1,"chop","dis ",747,611,157,89,71,4974
55,2,"chop","dis ",733,589,167,119,62,5040
56,3,"chop","dis ",803,615,210,121,80,5495
57,4,"chop","dis ",808,609,175,104,76,5275
58,5,"chop","dis ",301,222,74,42,27,1793
59,6,"chop","dis ",183,175,58,38,24,1307
60,7,"chop","dis ",189,163,68,32,14,1253
61,1,"chop","dis ",823,585,153,87,75,4767
62,2,"chop","dis ",757,560,156,85,55,5114
63,3,"chop","dis ",711,591,166,107,66,4848
64,4,"chop","dis ",796,620,194,103,81,5089
65,5,"chop","dis ",688,590,166,84,64,4362
66,6,"chop","dis ",175,218,66,27,9,1359
67,7,"chop","dis ",164,166,53,27,16,1240
68,1,"chop","dis ",674,555,142,81,41,4279
69,2,"chop","dis ",727,578,165,99,44,4474
70,3,"chop","dis ",618,513,174,103,46,4200
71,4,"chop","wash",262,229,117,53,19,2058
72,5,"chop","wash",202,250,118,71,23,1386
73,6,"chop","wash",179,169,82,41,11,1059
74,7,"chop","wash",173,165,54,28,18,1126
75,1,"chop","wash",559,433,134,86,57,3783
76,2,"chop","wash",639,486,130,72,49,4297
77,3,"chop","wash",668,525,152,82,52,4312
78,4,"chop","wash2",404,353,123,82,27,2765
79,5,"chop","wash2",252,232,109,54,20,1487
80,6,"chop","wash2",222,179,110,38,21,1314
